Participant,Area,Contrast,SizeType,Slope,Offset
LRFA,V2,High,radial,0.51045,2.9553
LRFA,V2,High,polar,0.40942,4.7486
LRFA,V2,High,average,0.45994,3.8519
LRFA,V2,High,original_paper,0.40942,4.7486
LRFA,V3,Low,radial,0.67517,3.3135
LRFA,V3,Low,polar,0.68152,5.2771
LRFA,V3,Low,average,0.67834,4.2953
LRFA,V3,Low,original_paper,0.68152,5.2771
LRFA,V3,Mid,radial,1.1776,0.96066
LRFA,V3,Mid,polar,0.46159,5.1896
LRFA,V3,Mid,average,0.81961,3.0751
LRFA,V3,Mid,original_paper,0.46159,5.1896
LRFA,V3,High,radial,0.63684,4.624
LRFA,V3,High,polar,0.78311,4.8422
LRFA,V3,High,average,0.70998,4.7331
LRFA,V3,High,original_paper,0.78311,4.8422
ANSI,V1,Low,radial,0.18541,4.8191
ANSI,V1,Low,polar,1.1966,0.78577
ANSI,V1,Low,average,0.69103,2.8024
ANSI,V1,Low,original_paper,1.1966,0.78577
ANSI,V1,Mid,radial,0.78903,-0.75813
ANSI,V1,Mid,polar,-0.32957,7.1334
ANSI,V1,Mid,average,0.22973,3.1876
ANSI,V1,Mid,original_paper,-0.32957,7.1334
ANSI,V1,High,radial,0.57156,2.5566
ANSI,V1,High,polar,0.24746,5.1832
ANSI,V1,High,average,0.40951,3.8699
ANSI,V1,High,original_paper,0.24746,5.1832
ANSI,V2,Low,radial,0.35023,6.1461
ANSI,V2,Low,polar,0.61115,4.6205
ANSI,V2,Low,average,0.48069,5.3833
ANSI,V2,Low,original_paper,0.61115,4.6205
ANSI,V2,Mid,radial,0.73311,3.0095
ANSI,V2,Mid,polar,-0.18236,8.1555
ANSI,V2,Mid,average,0.27537,5.5825
ANSI,V2,Mid,original_paper,-0.18236,8.1555
ANSI,V2,High,radial,0.62456,3.2691
ANSI,V2,High,polar,1.0229,3.7521
ANSI,V2,High,average,0.82374,3.5106
ANSI,V2,High,original_paper,1.0229,3.7521
ANSI,V3,Low,radial,0.72765,4.7612
ANSI,V3,Low,polar,0.66767,5.5056
ANSI,V3,Low,average,0.69766,5.1334
ANSI,V3,Low,original_paper,0.66767,5.5056
ANSI,V3,Mid,radial,1.254,1.2489
ANSI,V3,Mid,polar,0.071709,8.5072
ANSI,V3,Mid,average,0.66284,4.878
ANSI,V3,Mid,original_paper,0.071709,8.5072
ANSI,V3,High,radial,0.71212,6.1287
ANSI,V3,High,polar,0.87113,5.86
ANSI,V3,High,average,0.79162,5.9943
ANSI,V3,High,original_paper,0.87113,5.86
PLTA,V1,Low,radial,0.30458,0.38064
PLTA,V1,Low,polar,0.95743,-2.3607
PLTA,V1,Low,average,0.631,-0.99003
PLTA,V1,Low,original_paper,0.95743,-2.3607
PLTA,V1,Mid,radial,0.50936,-0.37801
PLTA,V1,Mid,polar,-0.042455,2.13
PLTA,V1,Mid,average,0.23345,0.87601
